[lighthouse_ros-1] [INFO] [1727466690.702563784] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.705180763] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.708376103] [lighthouse_ros]: Angles: [2.1054327174583625, 0.011037615065167428]
[lighthouse_ros-1] [INFO] [1727466690.710924120] [lighthouse_ros]: Angles: [2.1054327174583625, 0.011037615065167428]
[lighthouse_ros-1] [INFO] [1727466690.713426360] [lighthouse_ros]: Angles: [2.1054327174583625, 0.011037615065167428]
[lighthouse_ros-1] [INFO] [1727466690.716885622] [lighthouse_ros]: Angles: [2.1054327174583625, 0.011037615065167428]
[lighthouse_ros-1] [INFO] [1727466690.719750412] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.722157894] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.724739373] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.727353611] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.730246233] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.732984025] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.735524301] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.737762267] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.741046810] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.743724251] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.746266471] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.749078743] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.752843464] [lighthouse_ros]: Angles: [2.1054065102203756, 0.011011407827180575]
[lighthouse_ros-1] [INFO] [1727466690.755192521] [lighthouse_ros]: Angles: [2.1054065102203756, 0.011011407827180575]
[lighthouse_ros-1] [INFO] [1727466690.757510615] [lighthouse_ros]: Angles: [2.1054065102203756, 0.011011407827180575]
[lighthouse_ros-1] [INFO] [1727466690.760255962] [lighthouse_ros]: Angles: [2.1054065102203756, 0.011011407827180575]
[lighthouse_ros-1] [INFO] [1727466690.763501672] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.766269056] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.768657890] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.771069983] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.774102825] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466690.776720248] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466690.779241618] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466690.781900503] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.283554665] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466691.288926454] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466691.293340942] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466691.295587427] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466691.298533734] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.301071306] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.303423585] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.305654440] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.308306807] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.310562032] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.312937459] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.315688306] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.318695260] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.321280221] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.323732350] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.327105540] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.329894534] [lighthouse_ros]: Angles: [2.1054589246963484, 0.011063822303153392]
[lighthouse_ros-1] [INFO] [1727466691.332245646] [lighthouse_ros]: Angles: [2.1054589246963484, 0.011063822303153392]
[lighthouse_ros-1] [INFO] [1727466691.334912847] [lighthouse_ros]: Angles: [2.1054589246963484, 0.011063822303153392]
[lighthouse_ros-1] [INFO] [1727466691.337254329] [lighthouse_ros]: Angles: [2.1054589246963484, 0.011063822303153392]
[lighthouse_ros-1] [INFO] [1727466691.340203951] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.342613359] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.344966731] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.347685319] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.350895289] [lighthouse_ros]: Angles: [2.1053540957444037, 0.010958993351208646]
[lighthouse_ros-1] [INFO] [1727466691.353402473] [lighthouse_ros]: Angles: [2.1053540957444037, 0.010958993351208646]
[lighthouse_ros-1] [INFO] [1727466691.355934860] [lighthouse_ros]: Angles: [2.1053540957444037, 0.010958993351208646]
[lighthouse_ros-1] [INFO] [1727466691.359192459] [lighthouse_ros]: Angles: [2.1053540957444037, 0.010958993351208646]
[lighthouse_ros-1] [INFO] [1727466691.362118507] [lighthouse_ros]: Angles: [0.023935944027350553, -2.0704591583658445]
[lighthouse_ros-1] [INFO] [1727466691.364459767] [lighthouse_ros]: Angles: [0.023935944027350553, -2.0704591583658445]
[lighthouse_ros-1] [INFO] [1727466691.367162245] [lighthouse_ros]: Angles: [0.023935944027350553, -2.0704591583658445]
[lighthouse_ros-1] [INFO] [1727466691.369671281] [lighthouse_ros]: Angles: [0.023935944027350553, -2.0704591583658445]
[lighthouse_ros-1] [INFO] [1727466691.380842777] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.384075302] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.387275846] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.390614184] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.394643382] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.398385362] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.400657902] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.403438007] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.406743865] [lighthouse_ros]: Angles: [2.1053540957444037, 0.010958993351208646]
[lighthouse_ros-1] [INFO] [1727466691.409250789] [lighthouse_ros]: Angles: [2.1053540957444037, 0.010958993351208646]
[lighthouse_ros-1] [INFO] [1727466691.411653642] [lighthouse_ros]: Angles: [2.1053540957444037, 0.010958993351208646]
[lighthouse_ros-1] [INFO] [1727466691.414088290] [lighthouse_ros]: Angles: [2.1053540957444037, 0.010958993351208646]
[lighthouse_ros-1] [INFO] [1727466691.417373999] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.420064366] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.422548735] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.425048493] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.428397461] [lighthouse_ros]: Angles: [2.1053409921254103, 0.01094588973221522]
[lighthouse_ros-1] [INFO] [1727466691.430870534] [lighthouse_ros]: Angles: [2.1053409921254103, 0.01094588973221522]
[lighthouse_ros-1] [INFO] [1727466691.433683788] [lighthouse_ros]: Angles: [2.1053409921254103, 0.01094588973221522]
[lighthouse_ros-1] [INFO] [1727466691.436412006] [lighthouse_ros]: Angles: [2.1053409921254103, 0.01094588973221522]
[lighthouse_ros-1] [INFO] [1727466691.440339113] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.442789927] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.445122077] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.447627446] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.450557716] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.453413673] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
